area_type,availability,location,total_sqft,bath,price,bedrooms
Super built-up  Area,19-Dec,Electronic City Phase II,1056.0,2.0,39.07,2
Plot  Area,Ready To Move,Chikka Tirupathi,2600.0,5.0,120.0,4
Built-up  Area,Ready To Move,Uttarahalli,1440.0,2.0,62.0,3
Super built-up  Area,Ready To Move,Lingadheeranahalli,1521.0,3.0,95.0,3
Super built-up  Area,Ready To Move,Kothanur,1200.0,2.0,51.0,2
Super built-up  Area,Ready To Move,Whitefield,1170.0,2.0,38.0,2
Super built-up  Area,18-May,Old Airport Road,2732.0,4.0,204.0,4
Super built-up  Area,Ready To Move,Rajaji Nagar,3300.0,4.0,600.0,4
Super built-up  Area,Ready To Move,Marathahalli,1310.0,3.0,63.25,3
Plot  Area,Ready To Move,Gandhi Bazar,1020.0,6.0,370.0,6
Super built-up  Area,18-Feb,Whitefield,1800.0,2.0,70.0,3
Plot  Area,Ready To Move,Whitefield,2785.0,5.0,295.0,4
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1000.0,2.0,38.0,2
Built-up  Area,Ready To Move,Gottigere,1100.0,2.0,40.0,2
Plot  Area,Ready To Move,Sarjapur,2250.0,3.0,148.0,3
Super built-up  Area,Ready To Move,Mysore Road,1175.0,2.0,73.5,2
Super built-up  Area,Ready To Move,Bisuvanahalli,1180.0,3.0,48.0,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1540.0,3.0,60.0,3
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2770.0,4.0,290.0,3
Super built-up  Area,Ready To Move,Manayata Tech Park,1100.0,2.0,48.0,2
Built-up  Area,Ready To Move,Kengeri,600.0,1.0,15.0,1
Super built-up  Area,19-Dec,Binny Pete,1755.0,3.0,122.0,3
Plot  Area,Ready To Move,Thanisandra,2800.0,5.0,380.0,4
Super built-up  Area,Ready To Move,Bellandur,1767.0,3.0,103.0,3
Super built-up  Area,18-Nov, Thanisandra,510.0,1.0,25.25,1
Super built-up  Area,18-May,Mangammanapalya,1250.0,3.0,56.0,3
